기업명,dart_corp_code,crno,연도,설립일,업종코드,주소,연구개발비,유형자산_당기,유형자산_전기,종업원_합계,정규직_수,계약직_수,자산,부채,자본,CAPEX,매출액,영업이익,당기순이익
(주)현명,01151338,1101111731309.0,2019,20150821,68112,,0,,,0,0,0,,,,,,,
(주)화인세라텍,01656338,1348110571184.0,2019,20200721,26299,,0,,,0,0,0,,,,,,,
H테크,01478332,1647110046109.0,2019,20190816,22241,,0,,,0,0,0,,,,,,,
㈜나노신소재,00439965,1601110094162.0,2019,20000315,2049,,0,,,213,213,0,101893569315,8105979454,93787589861,1998083574,48892960511,5143898408,5801286198
㈜나인테크,01302987,1101112052382.0,2019,20170515,26223,,0,,,0,0,0,,,,,,,
㈜넥스틴,01080252,1344110044981.0,2019,20100623,29271,,0,,,0,0,0,,,,,,,
㈜디엔에프,00569691,1101111548671.0,2019,20010105,2049,,0,,,227,226,1,,,,,,,
㈜레이크머티리얼즈,00861854,1101116525723.0,2019,20100513,2049,,0,,,0,0,0,,,,,,,
㈜베이스,01008081,1101110358443.0,2019,20110801,71531,,0,,,0,0,0,,,,,,,
㈜선재하이테크,00342182,1801110323955.0,2019,20000522,2812,,0,,,0,0,0,,,,,,,
㈜쎄노텍,00915784,1101115733509.0,2019,19990514,23993,,0,,,0,0,0,,,,,,,
㈜씨엔티솔루션,01552555,1314110266299.0,2019,20111014,22299,,0,,,0,0,0,,,,,,,
㈜아이에스시,01318678,1101113978834.0,2019,20180313,64999,,0,,,0,0,0,,,,,,,
㈜아이윈,00365624,1101111715527.0,2019,19990206,303,,0,,,64,64,0,96723157381,52503299159,44219858222,764280013,95380947289,3730413594,2266080398
㈜야스,00875307,1101111080954.0,2019,20020411,29272,,0,,,259,259,0,214004928706,63370902026,150634026680,17199482656,86853450803,12545714699,16318268425
㈜에버켐텍,01370252,1348110192021.0,2019,20100407,20499,,0,,,0,0,0,,,,,,,
㈜에이프로,01292486,1101110036396.0,2019,20100924,2629,,0,,,0,0,0,,,,,,,
㈜엠케이켐앤텍,00448811,1101111928021.0,2019,20000401,2049,,0,,,0,0,0,,,,,,,
㈜엠티아이,00298739,1101111240920.0,2019,19960208,2642,,0,,,0,0,0,,,,,,,
㈜오로스테크놀로지,01016479,1311110104403.0,2019,20031021,292,,0,,,0,0,0,,,,,,,
㈜오이솔루션,00571483,2001110180384.0,2019,20030807,26410,,0,,,345,345,0,184366984034,45058614573,139308369461,4124423565,210283059020,58262069636,46065235863
㈜와이엠텍,01288331,1201110492223.0,2019,20090401,29,,0,,,0,0,0,,,,,,,
㈜웨이비스,01270749,1348110407800.0,2019,20170502,261,,0,,,0,0,0,,,,,,,
㈜이코니,00806051,1101117081287.0,2019,20030318,25924,,0,,,0,0,0,,,,,,,
㈜자람테크놀로지,01365038,1101111864829.0,2019,20000127,261,,0,,,0,0,0,,,,,,,
㈜지아이텍,00663784,1101112222505.0,2019,20010201,2225,,0,,,0,0,0,,,,,,,
㈜코렌스알티엑스,01728866,1601110259089.0,2019,20191101,29221,,0,,,0,0,0,,,,,,,
㈜파크시스템스,00244747,1101111397648.0,2019,19970407,27219,,0,,,167,163,4,60509518253,16146222414,44363295839,1207339527,51973741930,8035712410,8506309034
㈜피엠티,00654175,1101110928147.0,2019,20040512,27212,,0,,,163,163,0,,,,,,,
가온솔루션 주식회사,01310135,1211110380302.0,2019,20100108,29272,,0,,,0,0,0,,,,,,,
글로벤스(주),01917044,1648110049656.0,2019,20090701,29271,,0,,,0,0,0,,,,,,,
기가비스주식회사,00765569,1345110078029.0,2019,20040218,292,,0,,,0,0,0,,,,,,,
나래나노텍,00362122,1345110017746.0,2019,19951211,292,,0,,,0,0,0,,,,,,,
네오마(주),01139530,1101112779431.0,2019,20030701,4659,,0,,,0,0,0,,,,,,,
네이션스,01070033,1101112463894.0,2019,20140401,2629,,0,,,0,0,0,,,,,,,
네패스 야하드,00880354,,2019,20100401,28202,,0,,,0,0,0,,,,,,,
넥스원,00428880,1101111516933.0,2019,20021031,46800,,0,,,0,0,0,,,,,,,
넥스트젠,01551671,1101112309791.0,2019,20180821,70113,,0,,,0,0,0,,,,,,,
넥스플렉스㈜,01385111,1101116827658.0,2019,20180730,26221,,0,,,0,0,0,,,,,,,
노바,00254179,1101110381858.0,2019,19780304,64122,,0,,,0,0,0,,,,,,,
대산지오텍 주식회사,01356164,1348110236655.0,2019,20120214,29272,,0,,,0,0,0,,,,,,,
대운테크,01073854,1211110137464.0,2019,20130423,2221,,0,,,0,0,0,,,,,,,
대주전자재료(주),00177816,1301110007616.0,2019,19810706,2629,,0,,,242,241,1,191226386788,109060209500,82166177288,15179521950,116384306423,2663205563,-700955198
더블유씨피 주식회사,01291317,1101116126430.0,2019,20161026,28202,,0,,,0,0,0,,,,,,,
드림메카텍,01157174,1348110251299.0,2019,20120827,25929,,0,,,0,0,0,,,,,,,
디에스이테크,01682670,1313110146691.0,2019,20150301,29271,,0,,,0,0,0,,,,,,,
디에이치,00678999,1101110085541.0,2019,20030226,30320,,0,,,0,0,0,,,,,,,
디에이치테크,01023187,1101111951676.0,2019,19990219,29172,,0,,,0,0,0,,,,,,,
램테크놀러지㈜,00654272,1345110053211.0,2019,20011025,20119,,0,,,72,72,0,67037070873,31428918092,35608152781,1112501942,43411471480,4493253963,3174111773
레이저쎌주식회사,01573381,1311110405091.0,2019,20150406,29271,,0,,,0,0,0,,,,,,,
레이트론(주),00666912,1341110444765.0,2019,20001001,2611,,0,,,0,0,0,,,,,,,
루츠,01794230,1101112802547.0,2019,20230721,46413,,0,,,0,0,0,,,,,,,
리드엔지니어링,01845066,1501110100896.0,2019,20061101,29271,,0,,,0,0,0,,,,,,,
멜콘(주),01028933,1311110107671.0,2019,20031216,29,,0,,,0,0,0,,,,,,,
모아,00689746,1101110250706.0,2019,20050909,68,,0,,,0,0,0,,,,,,,
미래첨단소재 주식회사,01651908,1501110270186.0,2019,20161115,23993,,0,,,0,0,0,,,,,,,
바테크(주),00846998,1101110608244.0,2019,20050316,46510,,0,,,0,0,0,,,,,,,
볼트크리에이션,01588356,1101115745380.0,2019,20150801,26129,,0,,,0,0,0,,,,,,,
부국산업 주식회사,00123754,1152110036629.0,2019,19860401,3831,,0,,,0,0,0,,,,,,,
브이에이디인스트루먼트,01527230,1311110397222.0,2019,20150112,29271,,0,,,0,0,0,,,,,,,
비나텍(주),00563518,1341110067418.0,2019,19990726,282,,0,,,167,140,27,,,,,,,
비씨엔씨(주),01301623,1101112767064.0,2019,20030619,261,,0,,,0,0,0,,,,,,,
비앤에스(주),01456835,1101110540397.0,2019,20130327,29280,,0,,,0,0,0,,,,,,,
